year,month,capital,country_code,gas_ppi,elect_ppi,country_clean
2009,Dec,Brussels,(BE),4.780097814270743,17.52473488818232,Belgium
2009,Dec,Sofia,(BG),NA,NA,Bulgaria
2009,Dec,Zagreb,(HR),NA,NA,Croatia
2009,Dec,Prague,(CZ),NA,NA,Czech Republic
2009,Dec,Copenhagen,(DK),6.807500290415095,22.094652134849017,Denmark
2009,Dec,Tallinn,(EE),NA,NA,Estonia
2009,Dec,Paris,(FR),4.675210508587277,11.540460379537521,France
2009,Dec,Berlin,(DE),5.842995498380311,19.726793759541277,Germany
2009,Dec,London,(GB),4.153272752840288,13.702326926593994,United Kingdom
2009,Dec,Athens,(GR),4.955236956253785,12.94744344824999,Greece
2009,Dec,Budapest,(HU),NA,NA,Hungary
2009,Dec,Dublin,(IE),4.442959990617566,15.349830781087693,Ireland
2009,Dec,Rome,(IT),6.029863560723969,16.274630722696973,Italy
2009,Dec,Riga,(LV),NA,NA,Latvia
2009,Dec,Vilnius,(LT),NA,NA,Lithuania
2009,Dec,Luxembourg,City,4.6726671028428095,16.028177257525083,Luxembourg
2009,Dec,Amsterdam,(NL),5.124748463866145,17.39880740477038,Netherlands
2009,Dec,Warsaw,(PL),NA,NA,Poland
2009,Dec,Lisbon,(PT),6.455836972063221,19.760228963166586,Portugal
2009,Dec,Bucharest,(RO),NA,NA,Romania
2009,Dec,Belgrade,(RS),NA,NA,Serbia
2009,Dec,Bratislava,(SK),NA,NA,Slovakia
2009,Dec,Ljubljana,(SI),NA,NA,Slovenia
2009,Dec,Madrid,(ES),5.685408402644486,16.99428596642178,Spain
2009,Dec,Stockholm,(SE),12.749155481336073,12.42171101631796,Sweden
2009,Dec,Bern,(CH),NA,9.239618910659715,Switzerland
2009,Dec,Kyiv,(UA),NA,NA,Ukraine
2009,Dec,Average,-,5.870978910402377,15.939284909445377,NA
2009,Dec,Average,-,5.870978910402377,NA,NA
2010,Jan,Vienna,(AT),5.875332237108122,17.374540618738262,Austria
2010,Jan,Brussels,(BE),4.942659470094439,18.836885334877156,Belgium
2010,Jan,Sofia,(BG),NA,NA,Bulgaria
2010,Jan,Zagreb,(HR),NA,NA,Croatia
2010,Jan,Prague,(CZ),NA,NA,Czech Republic
2010,Jan,Copenhagen,(DK),7.354848404982325,20.8597334237207,Denmark
2010,Jan,Tallinn,(EE),NA,NA,Estonia
2010,Jan,Paris,(FR),4.7592860326736615,11.679727276752113,France
2010,Jan,Berlin,(DE),5.90514673911,21.17190878156079,Germany
2010,Jan,London,(GB),4.198594198934993,13.85500686979714,United Kingdom
2010,Jan,Athens,(GR),4.796799958492828,12.661678818345331,Greece
2010,Jan,Budapest,(HU),NA,NA,Hungary
2010,Jan,Dublin,(IE),4.72456078462813,16.322723749966592,Ireland
2010,Jan,Rome,(IT),6.201112492536583,15.990114031224003,Italy
2010,Jan,Riga,(LV),NA,NA,Latvia
2010,Jan,Vilnius,(LT),NA,NA,Lithuania
2010,Jan,Luxembourg,City,4.65557506335944,14.917264834284408,Luxembourg
2010,Jan,Amsterdam,(NL),5.167374516423439,15.350399177720478,Netherlands
2010,Jan,Warsaw,(PL),NA,NA,Poland
2010,Jan,Lisbon,(PT),6.514286130667059,20.808432138602246,Portugal
2010,Jan,Bucharest,(RO),NA,NA,Romania
2010,Jan,Belgrade,(RS),NA,NA,Serbia
2010,Jan,Bratislava,(SK),NA,NA,Slovakia
2010,Jan,Ljubljana,(SI),NA,NA,Slovenia
2010,Jan,Madrid,(ES),5.634575708679041,18.186218886309454,Spain
2010,Jan,Stockholm,(SE),14.635195938067001,12.975883610750074,Sweden
2010,Jan,Bern,(CH),NA,8.92470010117069,Switzerland
2010,Jan,Kyiv,(UA),NA,NA,Ukraine
2010,Jan,Average,-,6.243596421294005,16.043528977974802,NA
2010,Jan,Average,-,6.097524833982646,NA,NA
2010,Feb,Vienna,(AT),5.875332237108122,17.386491270632842,Austria
2010,Feb,Brussels,(BE),5.068941374787423,18.983970763831095,Belgium
2010,Feb,Sofia,(BG),NA,NA,Bulgaria
2010,Feb,Zagreb,(HR),NA,NA,Croatia
2010,Feb,Prague,(CZ),NA,NA,Czech Republic
2010,Feb,Copenhagen,(DK),7.479568353003817,20.853951290512313,Denmark
2010,Feb,Tallinn,(EE),NA,NA,Estonia
2010,Feb,Paris,(FR),4.766692317704874,11.679727276752113,France
2010,Feb,Berlin,(DE),5.90514673911,21.28376981068226,Germany
2010,Feb,London,(GB),4.000503081933027,13.859856138365796,United Kingdom
2010,Feb,Athens,(GR),5.056146409210399,12.661678818345331,Greece
2010,Feb,Budapest,(HU),NA,NA,Hungary
2010,Feb,Dublin,(IE),4.371221616469351,16.322723749966592,Ireland
